Date,Open,High,Low,Close,Volume,AdjClose
2008-08-21,20.34,20.57,19.480001,19.780001,2365500,309.268949
2008-08-20,20.47,21.24,19.780001,20.80,1913100,325.21709
2008-08-19,20.560001,21.130001,19.75,20.32,2920900,317.712075
2008-08-18,22.84,22.89,21.55,21.60,1628200,337.725439
2008-08-15,23.27,23.39,22.680001,22.99,1549000,359.458687
2008-08-14,21.960001,23.04,21.560001,22.82,1599800,356.800668
2008-08-13,22.780001,22.80,21.34,22.05,2732600,344.761386
2008-08-12,24.060001,24.07,22.59,22.85,2179900,357.269736
2008-08-11,24.90,25.160001,23.92,24.47,2045300,382.599139
2008-08-08,23.880001,25.160001,23.34,24.87,3036200,388.853314
2008-08-07,25.50,25.720002,23.530001,23.84,7748900,372.748809
2008-08-06,29.210001,29.470002,28.079999,29.09,1793200,454.834853
2008-08-05,28.00,29.90,27.829999,29.89,2082500,467.343203
2008-08-04,26.79,27.210001,25.94,26.69,1090400,417.309804
2008-08-01,26.520002,27.029999,25.50,26.79,1174100,418.873348
2008-07-31,26.310001,27.30,25.85,26.05,1426500,407.303134
2008-07-30,26.320002,27.579999,25.49,26.760001,1980300,418.404304
2008-07-29,23.24,25.85,22.14,25.85,3127400,404.176047
2008-07-28,27.220002,27.75,23.810001,23.960001,2253000,374.62508
2008-07-25,27.679999,28.470002,26.80,27.24,1625500,425.909295
2008-07-24,30.220002,30.25,27.110001,27.429999,2095400,428.880018
2008-07-23,28.229999,31.09,28.229999,30.10,2507900,470.626654
2008-07-22,26.170002,28.39,25.10,28.14,1822000,439.981188
2008-07-21,26.360001,28.19,26.360001,26.529999,2471900,414.808125
2008-07-18,25.04,25.17,23.880001,25.07,1937300,391.980401
2008-07-17,23.77,24.930001,23.130001,24.92,2566300,389.635085
2008-07-16,21.00,23.280001,20.70,23.280001,2468600,363.992978
2008-07-15,21.55,22.080001,19.730001,20.64,3571100,322.71541
2008-07-14,24.00,24.49,22.49,22.55,1552600,352.579104
2008-07-11,23.17,23.90,21.75,23.080001,3044200,360.865891
2008-07-10,25.710001,26.220002,23.760001,23.99,2530700,375.094124
2008-07-09,27.40,27.720002,26.00,26.14,1482400,408.710314
2008-07-08,25.910001,27.520002,25.40,27.40,1641200,428.410974
2008-07-07,26.40,26.75,25.310001,25.94,1459400,405.583226
2008-07-03,27.04,27.04,25.770002,26.24,865600,410.273858
2008-07-02,26.770002,27.34,26.470002,26.75,1535400,418.24794
2008-07-01,26.09,27.029999,25.70,26.729999,2032400,417.935212
2008-06-30,27.510001,27.95,26.370002,26.460001,2153300,413.713673
2008-06-27,27.820002,28.279999,27.410001,27.75,1870000,433.883377
2008-06-26,29.029999,29.279999,28.010001,28.09,1613500,439.199416
2008-06-25,30.010001,30.64,29.579999,29.74,1558500,464.997887
2008-06-24,30.160001,30.70,29.65,29.829999,1709700,466.405067
2008-06-23,32.010001,32.25,30.120002,30.30,1771200,473.753741
2008-06-20,32.55,33.070002,31.85,32.10,1543800,501.897528
2008-06-19,32.379999,33.310001,31.970002,33.070002,2090600,517.063921
2008-06-18,32.010001,32.19,31.05,31.520002,1755200,492.828994
2008-06-17,34.39,34.500001,32.079999,32.279999,1498800,504.711887
2008-06-16,33.54,34.79,33.15,34.010001,1274900,531.761222
2008-06-13,34.050001,34.420002,33.270002,34.179999,1194300,534.419218
2008-06-12,33.49,34.500001,33.15,33.679999,1218000,526.601499
2008-06-11,34.150001,34.34,32.820002,33.260001,1603000,520.034644
2008-06-10,33.120002,34.620002,33.120002,34.279999,1386100,535.982761
2008-06-09,34.120002,34.179999,32.870002,33.49,1492200,523.630776
2008-06-06,35.200001,35.400001,33.650001,33.929999,2488800,530.510359
2008-06-05,35.920002,36.500001,35.49,36.410001,880900,569.286271
2008-06-04,35.810001,36.770002,35.69,35.720002,1438400,558.497829
2008-06-03,36.129999,36.710001,35.750001,36.010001,1264600,559.904974
2008-06-02,36.000001,36.179999,35.420002,35.870002,1221600,557.72818
2008-05-30,36.59,36.979999,35.900001,36.000001,1412200,559.749478
2008-05-29,34.879999,35.610001,34.54,35.34,1543500,549.487395
2008-05-28,36.79,36.850001,34.529999,34.910001,2788800,542.801517
2008-05-27,36.900001,37.220002,36.529999,36.620002,1560500,569.389627
2008-05-23,37.59,37.59,36.750001,36.950001,1762100,574.520645
2008-05-22,37.050001,37.850001,36.700001,37.810001,1520900,587.892447
2008-05-21,38.200001,38.560001,36.750001,36.960001,2255900,574.67614
2008-05-20,38.679999,38.800001,37.760001,38.120002,2322700,592.712522
2008-05-19,39.279999,39.600001,38.670002,38.950001,1325200,605.617838
